Id,SalePrice
2,106591.47113902813
4,270349.646516478
6,186409.64651647798
7,205740.64651647798
17,187743.64651647798
18,330631.22183108144
22,196276.47113902814
27,114689.47113902813
31,87446.646516478
36,143773.64651647798
39,400943.22183108144
40,256054.22183108144
42,323398.646516478
46,234714.22183108144
53,174603.64651647798
58,195911.64651647798
61,311810.646516478
72,252595.64651647798
79,119824.47113902813
80,225109.64651647798
82,182731.47113902814
83,81677.646516478
85,142638.47113902814
88,119943.47113902813
92,270019.646516478
93,256499.64651647798
95,166699.64651647798
102,198087.64651647798
103,183658.64651647798
106,248046.64651647798
107,195178.64651647798
110,223518.64651647798
114,206029.64651647798
116,186705.64651647798
117,167523.49009205218
118,144016.64651647798
125,171778.47113902814
126,163934.5243131534
127,160248.64651647798
128,186128.49009205218
134,123638.64651647798
135,184423.64651647798
137,231042.64651647798
143,133035.64651647798
147,118194.64651647798
148,206555.49009205218
150,115846.64651647798
156,145577.49009205218
157,150160.64651647798
159,120755.49009205218
161,244099.64651647798
167,151730.64651647798
170,132816.6244589453
171,65562.33604163461
175,97227.646516478
179,118227.4361874265
181,92808.646516478
186,194597.4361874265
193,197872.64651647798
194,100425.63232922206
206,124725.64651647798
208,115910.26080997665
210,147579.64651647798
211,79482.31398410193
212,106490.31398410193
214,77201.33604163461
215,112741.68550334734
217,152049.5463706861
222,162045.47113902814
227,144234.47113902814
228,167938.49009205218
233,237755.64651647798
235,105215.646516478
238,127622.64651647798
241,162234.64651647798
252,182088.64651647798
253,184323.64651647798
256,157221.47113902814
257,141304.49009205218
258,198089.64651647798
259,177185.64651647798
261,142477.47113902814
263,138127.47113902814
266,238356.64651647798
267,221760.64651647798
270,133885.64651647798
271,245818.64651647798
276,125323.54637068609
285,127397.64651647798
288,44582.54637068609
289,154932.64651647798
290,157252.64651647798
291,135819.5463706861
292,126833.33604163461
293,196138.64651647798
294,221960.64651647798
295,184693.64651647798
304,127740.44908149543
322,360937.646516478
326,176827.64651647798
327,74872.646516478
328,155438.64651647798
331,79159.54637068609
332,74942.54637068609
333,82196.646516478
335,150707.8077066719
337,175902.5463706861
342,121503.64651647798
343,170268.64651647798
347,182997.64651647798
350,299784.646516478
352,230182.64651647798
358,192732.64651647798
359,181173.64651647798
360,147894.64651647798
368,304940.22183108144
369,254863.64651647798
373,183760.64651647798
377,246753.64651647798
383,201471.64651647798
386,216026.64651647798
387,232639.64651647798
390,170904.64651647798
391,162586.47113902814
395,164104.64651647798
397,138787.64651647798
398,126823.49009205218
401,106139.646516478
404,103684.646516478
408,119173.64651647798
409,113786.646516478
410,141814.64651647798
418,119907.64651647798
422,419880.646516478
427,349357.22183108144
431,394670.22183108144
433,452553.64651647804
437,376435.646516478
438,283151.646516478
442,369194.646516478
447,233507.22183108144
459,348850.22183108144
460,296949.646516478
464,193307.64651647798
465,170460.64651647798
467,164608.64651647798
468,177504.64651647798
474,171950.64651647798
480,194718.47113902814
481,202897.64651647798
483,217309.6244589453
488,165685.64651647798
492,183085.64651647798
494,189677.64651647798
499,318776.646516478
500,262942.646516478
501,311793.646516478
503,249614.64651647798
506,232377.64651647798
508,231243.64651647798
511,267679.646516478
515,246528.22183108144
519,234682.22183108144
521,248835.64651647798
530,233112.64651647798
532,218635.64651647798
534,181039.64651647798
540,174379.64651647798
541,140793.5463706861
551,167369.64651647798
552,161979.64651647798
554,80679.33604163461
555,132732.47113902814
556,121303.64651647798
557,132075.64651647798
565,235951.49009205218
566,253924.64651647798
567,157718.22183108144
569,202092.22183108144
570,183531.64651647798
574,218513.64651647798
575,344971.646516478
576,203671.64651647798
577,193327.64651647798
578,205640.64651647798
583,228802.64651647798
584,221709.64651647798
585,168089.64651647798
587,198398.64651647798
593,230471.64651647798
597,217505.6244589453
598,174375.64651647798
599,194087.64651647798
600,151801.49009205218
605,153459.6244589453
607,180730.47113902814
608,148545.6244589453
611,172155.47113902814
616,111268.646516478
625,183122.64651647798
629,151552.64651647798
630,106631.646516478
631,137843.64651647798
640,184802.49009205218
642,153671.5463706861
643,157560.64651647798
646,100468.54637068609
647,159022.64651647798
655,79868.646516478
659,118038.33604163461
663,77215.33604163461
665,98279.4361874265
667,200308.64651647798
673,148951.64651647798
676,134327.64651647798
680,154616.49009205218
682,115660.44908149543
687,129162.6244589453
688,151590.64651647798
692,102158.4361874265
693,109744.47113902813
695,150187.4361874265
697,128360.26080997665
700,119796.64651647798
702,118648.41412989382
703,132593.8077066719
704,107373.33604163461
712,107405.49009205218
713,92341.91135623808
717,209224.4361874265
720,169597.8077066719
721,55493.33604163461
726,161785.47113902814
733,98052.70756088002
736,132788.4361874265
738,105909.646516478
741,128086.47113902813
743,41734.31398410193
745,108445.47113902813
750,148389.5463706861
756,94078.646516478
757,113198.646516478
758,124637.33604163461
760,95050.31398410193
765,117064.33604163461
775,143496.64651647798
776,132164.64651647798
780,178010.64651647798
783,257263.64651647798
790,114371.49009205218
795,76829.4361874265
796,105486.646516478
797,132325.64651647798
798,106298.63232922206
804,220397.64651647798
805,233762.47113902814
806,238737.64651647798
808,130492.64651647798
814,139864.64651647798
818,319713.646516478
821,310820.646516478
822,359464.646516478
825,281585.646516478
827,226909.64651647798
830,203897.64651647798
834,246553.64651647798
835,223920.64651647798
